artist_id,artist_name,popularity,followers,genres,photo
0lD1ZrMwAQR9YQ86D63UhW,Ravi Khanwilker,15,2,[],[]
0lMa3YTHqQnDDTBaxAV7LK,Ranveer Singh,53,447065,"['desi hip hop', 'desi pop', 'filmi', 'hindi hip hop', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebcd9d96bb4ef185350550889e
0le3G5nxaIL8ecHpBA6LPW,Akriti Kakkar,50,81858,['modern bollywood'],https://i.scdn.co/image/ab6761610000e5eb6feb29219ff66072c5eaba5e
0li1h83aWiOl4kV7tKWJvc,Prasanna Shekhar,0,5,[],https://i.scdn.co/image/ab67616d0000b273e31bd527ac8b6ced443a29c0
0liUJ2xG9JRPSrYGZALfgX,Gurinder Seagal,41,1332,[],https://i.scdn.co/image/ab6761610000e5ebe2b4e73e6e8d78d39ea74b1e
0lve5IC1Fy0kxyzy8deBih,Yashika Sikka,37,4848,['gujarati pop'],https://i.scdn.co/image/ab6761610000e5ebaa8ac3bdbd2c9faec13b4352
0m3D4grap8VFSzbJMqgNVk,Kumaar,58,634,[],https://i.scdn.co/image/ab67616d0000b273ab75b015b6f615baeb638d11
0mJDQBWytBhOh5JB1DOQ1c,Jasmine Sandlas,62,1328280,"['desi pop', 'punjabi pop']",https://i.scdn.co/image/ab6761610000e5eb9a25224792e6bd5f3b4d20d0
0myVJmNOHZ7v7g8JVWGw8H,Vasundhara Das,54,2893,['filmi'],https://i.scdn.co/image/ab6761610000e5eb2b637d82eaf2522151240ea7
0nyZhi09T9RSiWvw6QwxWy,Clington,27,2,[],[]
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,78,9588919,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",https://i.scdn.co/image/ab6761610000e5ebb3fe1b3ee6caedd21d2a6b85
0oVezCxBnuX79VbcZhtUnw,Band Of Power,23,12,[],[]
0oXD3gW056DGEfWuEWcs7R,Kamaal Khan,49,338134,"['classic bollywood', 'filmi', 'modern bollywood']",https://i.scdn.co/image/ab67616d0000b27357683061f6fb746c2714f825
0obsFnsyhgGicMRGt4q3o4,Kilogram K G,8,2,[],[]
0qpsFfOT3SmdGmnyV6rOhS,Meet Bros.,69,668482,"['desi pop', 'filmi', 'modern bollywood']",https://i.scdn.co/image/ab67616d0000b2739a0cfca9e6c069d1a53b962b
0rPXtq1DFqaWtWxL70d28q,Sartaz Khan Barna,27,47,[],https://i.scdn.co/image/ab67616d0000b2730bd663fc8a550082907d4f5a
